Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
CACOTA,54125,7.25,'-72.5833333
CAICEDO,5125,6.45,'-75.9666667
CAICEDONIA,76122,4.33365917459535,'-75.8342456817627
CAIMITO,70124,8.8333333,'-75.1666667
CAJAMARCA,73124,4.4166667,'-75.5
CAJIBIO,19130,2.6666667,'-76.6666667
CAJICA,25126,5,'-74.05
CALAMAR,13140,10.25,'-75.0
CALAMAR,95015,1.9597222,'-72.6538889
CALARCA,63130,4.5325,'-75.6436111
CALDAS,15131,5.55,'-73.8833333
CALDAS,5129,6.0833333,'-75.6333333
CALDONO,19137,2.8333333,'-76.4166667
CALI,76001,3.4372222,'-76.5225
CALIFORNIA,68132,7.4166667,'-72.85
CALIMA,76126,3.9166667,'-76.6666667
CALOTO,19142,3.0833333,'-76.3333333
CAMPAMENTO,5134,7.0833333,'-75.25
CAMPO DE LA CRUZ,8137,10.4166667,'-74.9166667
CAMPOALEGRE,41132,2.6666667,'-75.3333333
CAMPOHERMOSO,15135,5.0833333,'-73.0
CANALETE,23090,8.6761111,'-76.2041667
CANDELARIA,76130,3.4130556,'-76.3511111
CANDELARIA,8141,10.5,'-74.8333333
CANTAGALLO,13160,7.3791667,'-73.9180556
CAÑASGORDAS,5138,6.75,'-76.0
CAPARRAPI,25148,5.4166667,'-74.5833333
CAPITANEJO,68147,6.6,'-72.6333333
CAQUEZA,25151,4.45,'-73.95
CARACOLI,5142,6.4119444,'-74.7605556
CARAMANTA,5145,5.5833333,'-75.5833333
CARCASI,68152,6.8333333,'-72.5
CAREPA,5147,7.7663889,'-76.6611111
CARMEN DE APICALA,73148,4.15,'-74.7333333
CARMEN DE CARUPA,25154,5.3502778,'-73.9052778
CAROLINA,5150,6.8,'-75.25
CARTAGENA,13001,10.3997222,'-75.5144444
CARTAGENA DEL CHAIRA,18150,1.35,'-74.84
CARTAGO,76147,4.7463889,'-75.9116667
CARURU,97161,0.9166667,'-70.7333333
CASABIANCA,73152,5.0833333,'-75.1666667
CASTILLA LA NUEVA,50150,3.8,'-73.5833333
CAUCASIA,5154,7.9166667,'-75.0
CEPITA,68160,6.8333333,'-72.9166667
CERETE,23162,8.9166667,'-76.0
CERINZA,15162,6,'-72.9166667
CERRITO,68162,7,'-72.5833333
CERRO SAN ANTONIO,47161,10.25,'-74.8333333
CERTEGUI,27160,5.4,'-76.6
CHACHAGUI,52240,1.35943053925138,'-77.2836685180664
CHAGUANI,25168,5,'-74.65
CHALAN,70230,9.5491667,'-75.3161111
CHAMEZA,85015,5,'-72.75
CHAPARRAL,73168,3.75,'-75.5833333
CHARALA,68167,6.25,'-73.0833333
CHARTA,68169,7.3,'-72.9666667
CHIA,25175,4.9166667,'-74.05
CHIBOLO,47170,10.0280556,'-74.6436111
CHIGORODO,5172,7.6666667,'-76.6666667
CHIMA,23168,9.0833333,'-75.6333333
CHIMA,68176,6.4166667,'-73.3333333
CHIMICHAGUA,20175,9.2577778,'-73.8177778
CHINACOTA,54172,7.75,'-72.55
CHINAVITA,15172,5.25,'-73.3333333
CHINCHINA,17174,5,'-75.6666667
CHINU,23182,9.0833333,'-75.3333333
CHIPAQUE,25178,4.5,'-74.0833333
